"lat","lng","total","bird","cat","dog","livestock","other","year2013","year2014","year2015","year2016","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","hour0","hour1","hour2","hour3","hour4","hour5","hour6","hour7","hour8","hour9","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour20","hour21","hour22","hour23"
30.18125,-97.7214,36,0,6,29,0,1,3,16,10,7,0,2,1,4,2,3,2,8,4,5,4,1,0,0,0,0,0,0,0,3,0,0,1,4,5,4,5,8,3,2,1,0,0,0,0,0
30.20375,-97.7214,85,0,22,55,0,8,7,21,29,28,3,5,5,3,13,3,11,9,3,10,8,12,0,0,0,0,0,0,0,2,7,2,3,22,8,3,4,3,9,11,6,0,0,3,0,2
30.22625,-97.7214,766,2,375,368,0,21,62,232,251,221,57,37,51,56,104,102,47,66,63,99,45,39,4,1,1,0,0,0,2,11,8,3,20,114,101,77,91,83,89,74,56,8,5,3,7,8
30.24875,-97.7214,585,0,245,306,0,34,38,185,206,156,35,30,33,40,66,44,66,48,63,55,55,50,3,3,0,1,0,0,0,14,12,11,29,105,89,56,43,68,51,53,27,8,0,3,5,4
30.27125,-97.7214,553,1,203,308,0,41,37,194,182,140,56,24,46,45,71,68,50,39,31,50,33,40,4,0,0,0,2,0,2,7,7,4,24,105,51,90,59,55,55,36,34,8,1,2,4,3
30.29375,-97.7214,308,3,169,110,0,26,21,94,111,82,24,12,18,25,33,29,28,31,15,53,21,19,1,0,1,0,0,0,0,7,9,31,17,42,22,40,31,30,33,17,8,4,11,2,1,1
30.31625,-97.7214,233,1,106,106,0,20,22,70,84,57,11,10,13,21,27,16,23,17,20,34,25,16,1,0,0,1,0,0,0,7,4,5,12,39,21,29,22,25,19,11,31,1,1,1,2,1
30.33875,-97.7214,235,0,96,116,0,23,21,77,83,54,16,8,22,28,24,17,12,19,14,38,24,13,0,2,0,0,0,0,0,2,5,1,9,47,31,28,22,23,31,13,18,1,0,0,0,2
30.36125,-97.7214,419,3,184,199,0,33,29,117,160,113,30,31,32,36,59,39,40,29,34,34,26,29,5,1,0,0,0,0,0,7,2,7,14,64,68,51,49,51,51,18,15,3,3,5,1,4
30.38375,-97.7214,121,1,48,52,0,20,10,38,39,34,6,9,13,5,13,11,5,12,11,20,10,6,0,0,0,0,0,0,0,1,4,3,2,23,10,16,16,14,14,7,6,2,0,0,0,3
30.40625,-97.7214,110,0,35,55,0,20,5,42,31,32,3,5,7,10,13,8,14,12,11,12,6,9,1,0,0,0,1,0,0,0,2,1,7,9,14,20,16,8,9,5,7,2,3,2,0,3
30.18125,-97.7058,38,0,11,27,0,0,9,11,14,4,2,1,2,7,3,2,1,0,5,4,2,9,0,1,0,0,0,0,0,2,0,0,2,6,5,3,1,9,1,7,1,0,0,0,0,0
30.20375,-97.7058,62,0,25,37,0,0,2,26,18,16,1,6,2,2,14,8,4,3,8,9,2,3,1,0,0,0,0,0,0,3,0,1,3,11,3,7,7,13,7,3,2,0,0,0,1,0
30.22625,-97.7058,589,0,204,351,0,34,28,187,211,163,33,42,62,50,50,56,57,32,48,69,54,36,0,1,0,0,2,0,0,4,15,12,37,78,74,88,54,59,53,62,30,8,4,1,4,3
30.24875,-97.7058,300,0,136,156,0,8,25,70,132,73,28,23,6,31,53,30,21,18,24,23,25,18,2,0,0,0,1,0,0,6,5,0,17,41,46,36,37,31,24,31,19,0,2,0,0,2
30.27125,-97.7058,659,13,293,328,1,24,42,216,235,166,43,34,42,70,76,65,49,70,53,51,63,43,3,1,2,0,0,0,0,6,4,10,30,108,94,73,55,69,54,64,65,12,3,3,1,2
30.29375,-97.7058,307,3,125,154,0,25,23,101,89,94,22,11,20,25,42,28,15,36,38,28,23,19,1,1,0,0,0,0,0,4,4,6,16,48,37,26,33,23,47,17,35,2,1,2,1,3
30.31625,-97.7058,387,1,146,221,0,19,15,114,162,96,16,31,21,65,30,35,24,52,39,40,21,13,1,0,1,1,0,0,0,4,5,11,15,43,52,37,78,36,44,27,14,10,0,0,3,5
30.33875,-97.7058,631,2,264,353,0,12,68,253,171,139,44,31,39,44,69,63,56,45,64,65,59,52,3,1,1,0,0,0,1,10,7,5,14,65,78,99,118,73,70,31,31,7,5,4,4,4
30.36125,-97.7058,618,1,285,316,1,15,38,195,213,172,40,28,38,60,78,55,55,67,32,68,51,46,2,0,2,0,0,0,0,14,14,16,15,93,82,96,45,86,51,44,30,8,3,5,5,7
30.38375,-97.7058,371,0,112,235,0,24,21,123,154,73,24,24,28,33,47,25,28,22,23,50,43,24,1,1,0,0,0,0,1,9,13,8,15,55,49,35,35,33,45,28,29,3,0,1,4,6
30.40625,-97.7058,236,1,107,117,0,11,18,65,89,64,6,17,9,18,13,23,17,35,35,32,15,16,3,0,0,0,0,0,1,2,4,9,7,29,39,39,13,13,25,25,18,5,1,1,1,1
30.18125,-97.6902,71,0,35,35,0,1,6,32,13,20,4,2,3,4,4,15,7,1,17,10,2,2,0,0,0,0,0,0,0,1,2,0,1,6,10,6,13,22,2,3,2,2,0,0,0,1
30.20375,-97.6902,113,0,38,70,0,5,7,35,33,38,21,10,5,11,7,6,12,2,9,7,19,4,0,3,0,0,0,1,1,2,2,1,3,13,17,15,9,14,8,5,14,3,2,0,0,0
30.22625,-97.6902,447,2,147,290,0,8,25,190,111,121,23,28,34,48,58,52,34,39,27,53,34,17,2,0,0,0,0,0,0,4,5,3,34,78,59,39,31,45,59,43,35,5,1,3,1,0
30.24875,-97.6902,903,12,332,529,0,30,68,295,303,237,43,47,66,61,101,94,107,80,55,120,67,62,9,0,2,0,0,0,1,28,28,40,100,154,96,75,73,59,45,71,73,25,6,9,3,6
30.27125,-97.6902,711,0,298,405,0,8,42,255,244,170,38,37,44,65,92,95,59,69,52,65,52,43,1,2,0,1,0,0,0,4,13,19,45,125,111,91,67,58,63,51,50,2,2,3,3,0
30.29375,-97.6902,297,0,105,179,0,13,15,106,97,79,27,14,30,24,33,45,24,27,28,18,15,12,1,0,0,1,0,0,0,4,4,10,20,58,32,30,21,23,20,31,29,6,2,2,2,1
30.31625,-97.6902,407,0,155,234,0,18,28,120,144,115,28,27,33,31,40,54,34,18,42,35,41,24,3,4,0,1,0,0,0,10,5,9,35,63,37,53,42,36,36,22,32,6,4,1,2,6
30.33875,-97.6902,454,0,197,225,0,32,24,172,143,115,25,19,34,36,51,47,36,42,57,37,41,29,2,0,0,0,0,0,1,7,7,5,13,49,78,54,34,60,43,40,33,14,0,3,5,6
30.36125,-97.6902,527,4,205,302,0,16,41,191,165,130,47,36,43,44,51,50,43,45,36,50,45,37,3,1,0,0,1,1,0,10,6,15,19,83,73,48,60,66,60,33,27,2,5,1,7,6
